Wallet;Balance;Type
0x59C8DE83E427CcC32cc64902db5cc3d20a52ba21;85000;wallet
0x5614264b6970A94337DB8812BcB14F99e42C0C58;"84332,93217";wallet
0x6dBA1316047De31B028F674863Fdb0aFA808f896;"83621,12974";wallet
0xA2Fe68057cCE23954068D78a7Ab7a09D9bB86648;"82277,31335";wallet
0x5f9F71daBe7080CF7C7888139063FE33A7508E3b;"81847,63173";wallet
0xE0194B651fDA749F129EB0c27C62762C47fe77C3;"81692,60504";wallet
0x702bBdA7D1aA3ED3445d34e57a57Bc26F953E451;"81400,56314";wallet
0x4F8035314B6e4c2462F0469D62D457d73BAB6a81;"81245,56147";wallet
0x64B9730db430b8cd8F1425e0d63Ef5cF6F3007e1;"80401,32389";wallet
0xaBd36Cb9A55A29ed5E466b6cDCA9a9664A655dDe;"79773,10988";wallet
0x449839937001ffc1Fe3b3396A368c457E4C35e0e;"78698,59512";wallet
0xe520b28F5907aa97A2B8c877aD3EDB6A5bFaC13E;"78564,59352";wallet
0x8e713Df3f63C3E39CE596d5cf5EdD7Ce7049e5f2;"78496,82223";wallet
0x671455e8EDC27C524f3E511C13D88849B487e341;"77761,62751";wallet
0x4Ca3a15646Ef7f795b66b76D2226F38c0549998b;"77028,13837";wallet
0x75bE38369C899747855981C771abEd201df8B7fe;"76766,19726";wallet
0xC074887D140e276a8B892222F925440EaF3FF40B;"76719,35576";wallet
0x299dA12E4A7b78a64d8eF8B1eCB2928fEAa50B9F;"76696,50079";wallet
0xBb58d4A9e44870e698cDfF0328Fa42d557A73d1f;"76687,56226";wallet
0xa034ee1d4DB66Edb9093815Db32cDdE030e6433b;"76597,11371";wallet
0x119B26b5626eDE6094C591EB663f93E438a4aE47;75700;wallet
0x5A907b4A319EB63Ebb92d1BA9aCB9022ccCfd212;"74073,97442";wallet
0xFe3Bf0dcfF794E1dF4b7bC69b620eAd6525E30A3;"73913,8297";wallet
0x858c2c68B8C388b030E1C7fb6CBcAbD103F6f6ed;"73074,01956";wallet
0x85D3b249Bba7b6BB77df842576986f666F0eFd71;"72692,88578";wallet
0x22fD190176e863ed87967614B1de5c499E5f080f;"72161,43808";wallet
0x1E119A7450F6126260b8f222c78b291fD4C166c3;"72042,2";wallet
0x6923dfef673AD39FFD40c7ac34783C417102230A;"71880,93883";wallet
